Collection,Name,Year,TV,Film,4K,Blu-ray,3D,DVD,Label,Director,Notes
Dragon Ball Movie Trilogy,Dragon Ball Super: Broly,2018,,✓,,✓,,,Manga Entertainment,Tatsuya Nagamine,
,Nightcrawler,2014,,✓,,✓,,,Entertainment One,Dan Gilroy,
,"Handmaiden, The",2016,,✓,,✓,,,Curzon Artificial Eye,Park Chan-wook,Special Edition slipcase
,"Thing, The",1982,,✓,✓,✓,,,Universal,John Carpenter,
,Batman Returns,1992,,✓,✓,✓,,,Warner Bros.,Tim Burton,
Star Wars: The Complete Saga,Star Wars: Episode I - The Phantom Menace,1999,,✓,,✓,,,20th Century Fox,George Lucas,
Star Wars: The Complete Saga,Star Wars: Episode II - Attack of the Clones,2002,,✓,,✓,,,20th Century Fox,George Lucas,
Star Wars: The Complete Saga,Star Wars: Episode III - Revenge of the Sith,2005,,✓,,✓,,,20th Century Fox,George Lucas,
Star Wars: The Complete Saga,Star Wars: Episode IV - A New Hope (Special Edition),1977 / 1997,,✓,,✓,,,20th Century Fox,George Lucas,
Star Wars: The Complete Saga,Star Wars: Episode V - The Empire Strikes Back (Special Edition),1980 / 1997,,✓,,✓,,,20th Century Fox,Irvin Kershner,
Star Wars: The Complete Saga,Star Wars: Episode VI - Return of the Jedi (Special Edition),1983 / 1997,,✓,,✓,,,20th Century Fox,Richard Marquand,
,Doctor Who: Series 2,2006,✓,,,,,✓,BBC,Russell T Davies,
,Doctor Who: Series 3,2007,✓,,,,,✓,BBC,Russell T Davies,
,Doctor Who: Series 4,2008,✓,,,,,✓,BBC,Russell T Davies,
Almodóvar: The Collection Vol. 1,"Pepi, Luci, Bom",1980,,✓,,,,✓,Optimum World,Pedro Almodóvar,
Almodóvar: The Collection Vol. 1,Dark Habits,1983,,✓,,,,✓,Optimum World,Pedro Almodóvar,
Almodóvar: The Collection Vol. 1,What Have I Done to Deserve This?,1984,,✓,,,,✓,Optimum World,Pedro Almodóvar,
Almodóvar: The Collection Vol. 1,Women on the Verge of a Nervous Breakdown,1988,,✓,,,,✓,Optimum World,Pedro Almodóvar,
Almodóvar: The Collection Vol. 2,Matador,1986,,✓,,,,✓,Optimum World,Pedro Almodóvar,
Almodóvar: The Collection Vol. 2,"Law of Desire, The",1987,,✓,,,,✓,Optimum World,Pedro Almodóvar,
Almodóvar: The Collection Vol. 2,Kika,1993,,✓,,,,✓,Optimum World,Pedro Almodóvar,
Almodóvar: The Collection Vol. 2,"Flower of My Secret, The",1995,,✓,,,,✓,Optimum World,Pedro Almodóvar,
,Withnail & I,1987,,✓,,✓,,,Arrow Video,Bruce Robinson,
,"South Park: Bigger, Longer & Uncut",1999,,✓,✓,✓,,,Paramount,Trey Parker,
,Berserk,1997,✓,,,✓,,,MVM Entertainment,Naohito Takahashi,Complete series
,mother!,2017,,✓,,✓,,,Paramount,Darren Aronofsky,
,"Batman, The",2022,,✓,✓,✓,,,Warner Bros.,Matt Reeves,
,Django Unchained,2012,,✓,,✓,,,Sony Pictures,Quentin Tarantino,
,Joker,2019,,✓,✓,✓,,,Warner Bros.,Todd Phillips,
,Stalker,1979,,✓,,✓,,,Criterion,Andrei Tarkovsky,
,"Blair Witch Project, The",1999,,✓,,✓,,,Second Sight,Daniel Myrick; Eduardo Sánchez,
,Godzilla vs. Kong,2021,,✓,✓,✓,,,Warner Bros.,Adam Wingard,
,Léon,1994,,✓,,✓,,,StudioCanal,Luc Besson,"Theatrical cut, on the Blu-ray in the same package"
,Léon (Director's Cut),1994 / 1996,,✓,✓,,,,StudioCanal,Luc Besson,"Director's Cut, on the 4K disc"
,No Country for Old Men,2007,,✓,,✓,,,Miramax,Joel Coen; Ethan Coen,
,Goodfellas,1990,,✓,✓,✓,,,Warner Bros.,Martin Scorsese,
,"Running Man, The",1987,,✓,✓,✓,,,Paramount,Paul Michael Glaser,
,EO,2022,,✓,,✓,,✓,BFI,Jerzy Skolimowski,Dual format (Blu-ray + DVD)
,Sonic the Hedgehog 2,2022,,✓,✓,✓,,,Paramount,Jeff Fowler,
